#TYPE System.Management.Automation.AliasInfo
"HelpUri","ResolvedCommandName","DisplayName","ReferencedCommand","ResolvedCommand","Definition","Options","Description","OutputType","Name","CommandType","Source","Version","Visibility","ModuleName","Module","RemotingCapability","Parameters","ParameterSets"
"",,"Add-AdlAnalyticsDataSource",,,,"None","",,"Add-AdlAnalyticsDataSource","Alias","AzureRM.DataLakeAnalytics","4.2.3","Public","AzureRM.DataLakeAnalytics","AzureRM.DataLakeAnalytics","PowerShell",,
"",,"Add-AdlAnalyticsFirewallRule",,,,"None","",,"Add-AdlAnalyticsFirewallRule","Alias","AzureRM.DataLakeAnalytics","4.2.3","Public","AzureRM.DataLakeAnalytics","AzureRM.DataLakeAnalytics","PowerShell",,
"",,"Add-AdlStoreFirewallRule",,,,"None","",,"Add-AdlStoreFirewallRule","Alias","AzureRM.DataLakeStore","5.2.0","Public","AzureRM.DataLakeStore","AzureRM.DataLakeStore","PowerShell",,
"",,"Add-AdlStoreItemContent",,,,"None","",,"Add-AdlStoreItemContent","Alias","AzureRM.DataLakeStore","5.2.0","Public","AzureRM.DataLakeStore","AzureRM.DataLakeStore","PowerShell",,
"",,"Add-AdlStoreTrustedIdProvider",,,,"None","",,"Add-AdlStoreTrustedIdProvider","Alias","AzureRM.DataLakeStore","5.2.0","Public","AzureRM.DataLakeStore","AzureRM.DataLakeStore","PowerShell",,
"",,"Add-AppPackage",,,,"None","",,"Add-AppPackage","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Add-AppPackageVolume",,,,"None","",,"Add-AppPackageVolume","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Add-AppProvisionedPackage",,,,"None","",,"Add-AppProvisionedPackage","Alias","Dism","3.0","Public","Dism","Dism","PowerShell",,
"",,"Add-AzureHDInsightConfigValues",,,,"None","",,"Add-AzureHDInsightConfigValues","Alias","Azure","5.1.2","Public","Azure","Azure","PowerShell",,
"",,"Add-AzureHDInsightMetastore",,,,"None","",,"Add-AzureHDInsightMetastore","Alias","Azure","5.1.2","Public","Azure","Azure","PowerShell",,
"",,"Add-AzureHDInsightStorage",,,,"None","",,"Add-AzureHDInsightStorage","Alias","Azure","5.1.2","Public","Azure","Azure","PowerShell",,
"",,"Add-AzureRmAccount",,,,"None","",,"Add-AzureRmAccount","Alias","AzureRM.Profile","4.6.0","Public","AzureRM.Profile","AzureRM.Profile","PowerShell",,
"",,"Add-AzureRmIotHubEHCG",,,,"None","",,"Add-AzureRmIotHubEHCG","Alias","AzureRM.IotHub","3.1.2","Public","AzureRM.IotHub","AzureRM.IotHub","PowerShell",,
"",,"Add-MsixPackage",,,,"None","",,"Add-MsixPackage","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Add-MsixPackageVolume",,,,"None","",,"Add-MsixPackageVolume","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Add-MsixVolume",,,,"None","",,"Add-MsixVolume","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Add-ProvisionedAppPackage",,,,"None","",,"Add-ProvisionedAppPackage","Alias","Dism","3.0","Public","Dism","Dism","PowerShell",,
"",,"Add-ProvisionedAppSharedPackageContainer",,,,"None","",,"Add-ProvisionedAppSharedPackageContainer","Alias","Dism","3.0","Public","Dism","Dism","PowerShell",,
"",,"Add-ProvisionedAppxPackage",,,,"None","",,"Add-ProvisionedAppxPackage","Alias","Dism","3.0","Public","Dism","Dism","PowerShell",,
"",,"Add-ProvisioningPackage",,,,"None","",,"Add-ProvisioningPackage","Alias","Provisioning","3.0","Public","Provisioning","Provisioning","PowerShell",,
"",,"Add-TrustedProvisioningCertificate",,,,"None","",,"Add-TrustedProvisioningCertificate","Alias","Provisioning","3.0","Public","Provisioning","Provisioning","PowerShell",,
"",,"Add-WAPackEnvironment",,,,"None","",,"Add-WAPackEnvironment","Alias","Azure","5.1.2","Public","Azure","Azure","PowerShell",,
"",,"Apply-WindowsUnattend",,,,"None","",,"Apply-WindowsUnattend","Alias","Dism","3.0","Public","Dism","Dism","PowerShell",,
"",,"Confirm-SSLegacyVolumeContainerStatus",,,,"None","",,"Confirm-SSLegacyVolumeContainerStatus","Alias","Azure","5.1.2","Public","Azure","Azure","PowerShell",,
"",,"Disable-AzureRmHDInsightOMS",,,,"None","",,"Disable-AzureRmHDInsightOMS","Alias","AzureRM.HDInsight","4.1.2","Public","AzureRM.HDInsight","AzureRM.HDInsight","PowerShell",,
"",,"Disable-AzureStorageSoftDelete",,,,"None","",,"Disable-AzureStorageSoftDelete","Alias","Azure.Storage","4.2.1","Public","Azure.Storage","Azure.Storage","PowerShell",,
"",,"Disable-PhysicalDiskIndication",,,,"None","",,"Disable-PhysicalDiskIndication","Alias","Storage","2.0.0.0","Public","Storage","Storage","PowerShell",,
"",,"Disable-PhysicalDiskIndication",,,,"None","",,"Disable-PhysicalDiskIndication","Alias","VMDirectStorage","1.0.0.0","Public","VMDirectStorage","VMDirectStorage","PowerShell",,
"",,"Disable-StorageDiagnosticLog",,,,"None","",,"Disable-StorageDiagnosticLog","Alias","Storage","2.0.0.0","Public","Storage","Storage","PowerShell",,
"",,"Disable-StorageDiagnosticLog",,,,"None","",,"Disable-StorageDiagnosticLog","Alias","VMDirectStorage","1.0.0.0","Public","VMDirectStorage","VMDirectStorage","PowerShell",,
"",,"Disable-WAPackWebsiteApplicationDiagnostic",,,,"None","",,"Disable-WAPackWebsiteApplicationDiagnostic","Alias","Azure","5.1.2","Public","Azure","Azure","PowerShell",,
"",,"Dismount-AppPackageVolume",,,,"None","",,"Dismount-AppPackageVolume","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Dismount-MsixPackageVolume",,,,"None","",,"Dismount-MsixPackageVolume","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Dismount-MsixVolume",,,,"None","",,"Dismount-MsixVolume","Alias","Appx","2.0.1.0","Public","Appx","Appx","PowerShell",,
"",,"Edit-ASRRecoveryPlan",,,,"None","",,"Edit-ASRRecoveryPlan","Alias","AzureRM.RecoveryServices.SiteRecovery","0.2.4","Public","AzureRM.RecoveryServices.SiteRecovery","AzureRM.RecoveryServices.SiteRecovery","PowerShell",,
"",,"Edit-ASRRP",,,,"None","",,"Edit-ASRRP","Alias","AzureRM.RecoveryServices.SiteRecovery","0.2.4","Public","AzureRM.RecoveryServices.SiteRecovery","AzureRM.RecoveryServices.SiteRecovery","PowerShell",,
"",,"Enable-AdlStoreKeyVault",,,,"None","",,"Enable-AdlStoreKeyVault","Alias","AzureRM.DataLakeStore","5.2.0","Public","AzureRM.DataLakeStore","AzureRM.DataLakeStore","PowerShell",,
"",,"Enable-AzureRmHDInsightOMS",,,,"None","",,"Enable-AzureRmHDInsightOMS","Alias","AzureRM.HDInsight","4.1.2","Public","AzureRM.HDInsight","AzureRM.HDInsight","PowerShell",,
"",,"Enable-AzureStorageSoftDelete",,,,"None","",,"Enable-AzureStorageSoftDelete","Alias","Azure.Storage","4.2.1","Public","Azure.Storage","Azure.Storage","PowerShell",,
"",,"Enable-PhysicalDiskIndication",,,,"None","",,"Enable-PhysicalDiskIndication","Alias","Storage","2.0.0.0","Public","Storage","Storage","PowerShell",,
"",,"Enable-PhysicalDiskIndication",,,,"None","",,"Enable-PhysicalDiskIndication","Alias","VMDirectStorage","1.0.0.0","Public","VMDirectStorage","VMDirectStorage","PowerShell",,
"",,"Enable-StorageDiagnosticLog",,,,"None","",,"Enable-StorageDiagnosticLog","Alias","Storage","2.0.0.0","Public","Storage","Storage","PowerShell",,
"",,"Enable-StorageDiagnosticLog",,,,"None","",,"Enable-StorageDiagnosticLog","Alias","VMDirectStorage","1.0.0.0","Public","VMDirectStorage","VMDirectStorage","PowerShell",,
"",,"Enable-WAPackWebsiteApplicationDiagnositc",,,,"None","",,"Enable-WAPackWebsiteApplicationDiagnositc","Alias","Azure","5.1.2","Public","Azure","Azure","PowerShell",,
"",,"Export-AdlStoreItem",,,,"None","",,"Export-AdlStoreItem","Alias","AzureRM.DataLakeStore","5.2.0","Public","AzureRM.DataLakeStore","AzureRM.DataLakeStore","PowerShell",,
